audio/xm xm
chemical/x-xyz xyz
image/vnd.xiff xif
image/x-xbitmap xbm
image/x-xpixmap xpm
image/x-xwindowdump xwd
model/x3d+binary x3db
model/x3d+binary x3dbz
model/x3d+vrml x3dv
model/x3d+vrml x3dvz
model/x3d+xml x3d
model/x3d+xml x3dz
application/calendar+xml xcs
application/prs.xsf+xml xsf
application/vnd.gov.sk.xmldatacontainer+xml xdcf
application/vnd.pwg-xhtml-print+xml xhtm
application/xcap-att+xml xav
application/xcap-caps+xml xca
application/xcap-el+xml xel
application/xcap-ns+xml xns
application/xml xsd
model/vnd.parasolid.transmit.binary x_b
model/vnd.parasolid.transmit.text x_t
image/x-xcf xcf
application/font-tdpfr pfr
application/octet-stream pkg
application/pdf pdf
application/pgp-encrypted pgp
application/pics-rules prf
application/pkcs10 p10
application/pkcs7-mime p7m
application/pkcs7-mime p7c
application/pkcs7-signature p7s
application/pkcs8 p8
application/pkix-pkipath pkipath
application/pkixcmp pki
application/pls+xml pls
application/postscript ps
application/pskc+xml pskcxml
application/vnd.3gpp.pic-bw-large plb
application/vnd.3gpp.pic-bw-small psb
application/vnd.3gpp.pic-bw-var pvb
application/vnd.3m.post-it-notes pwn
application/vnd.ctc-posml pml
application/vnd.cups-ppd ppd
application/vnd.curl.pcurl pcurl
application/vnd.hp-pcl pcl
application/vnd.hp-pclxl pclxl
application/vnd.lotus-freelance pre
application/vnd.macports.portpkg portpkg
application/vnd.mobius.plc plc
application/vnd.ms-powerpoint ppt
application/vnd.ms-powerpoint pps
application/vnd.ms-powerpoint pot
application/vnd.ms-powerpoint.addin.macroenabled.12 ppam
application/vnd.ms-powerpoint.presentation.macroenabled.12 pptm
application/vnd.ms-powerpoint.slideshow.macroenabled.12 ppsm
application/vnd.ms-powerpoint.template.macroenabled.12 potm
application/vnd.openxmlformats-officedocument.presentationml.presentation pptx
application/vnd.openxmlformats-officedocument.presentationml.slideshow ppsx
application/vnd.openxmlformats-officedocument.presentationml.template potx
application/vnd.palm pdb
application/vnd.palm pqa
application/vnd.pawaafile paw
application/vnd.pocketlearn plf
application/vnd.powerbuilder6 pbd
application/vnd.pvi.ptid1 ptid
application/vnd.tcpdump.pcap pcap
application/x-chess-pgn pgn
application/x-font-linux-psf psf
application/x-font-pcf pcf
application/x-font-type1 pfa
application/x-font-type1 pfb
application/x-font-type1 pfm
application/x-mobipocket-ebook prc
application/x-mspublisher pub
application/x-pkcs12 p12
application/x-pkcs12 pfx
application/x-pkcs7-certificates p7b
application/x-pkcs7-certreqresp p7r
audio/vnd.ms-playready.media.pya pya
image/png png
image/vnd.adobe.photoshop psd
image/x-pcx pcx
image/x-pict pic
image/x-pict pct
image/x-portable-anymap pnm
image/x-portable-bitmap pbm
image/x-portable-graymap pgm
image/x-portable-pixmap ppm
text/x-pascal p
text/x-pascal pas
video/vnd.ms-playready.media.pyv pyv
application/provenance+xml provx
application/vnd.apple.pages pages
application/vnd.apple.pkpass pkpass
application/x-httpd-php php
application/x-ns-proxy-autoconfig pac
application/x-perl pl
application/x-perl pm
application/x-x509-ca-cert pem
image/prs.pti pti
model/vnd.pytha.pyox pyo
model/vnd.pytha.pyox pyox
text/x-processing pde
application/listenup ptlk
application/mspowerpoint ppz
application/x-httpd-php phtml
application/gml+xml gml
application/gpx+xml gpx
application/gxf gxf
application/rpki-ghostbusters gbr
application/srgs gram
application/srgs+xml grxml
application/vnd.dynageo geo
application/vnd.flographit gph
application/vnd.geogebra.file ggb
application/vnd.geogebra.slides ggs
application/vnd.geogebra.tool ggt
application/vnd.geometry-explorer gex
application/vnd.geometry-explorer gre
application/vnd.geonext gxt
application/vnd.geoplan g2w
application/vnd.geospace g3w
application/vnd.gmx gmx
application/vnd.grafeq gqf
application/vnd.grafeq gqs
application/vnd.groove-account gac
application/vnd.groove-help ghf
application/vnd.groove-identity-message gim
application/vnd.groove-injector grv
application/vnd.groove-tool-message gtm
application/x-font-ghostscript gsf
application/x-gca-compressed gca
application/x-gnumeric gnumeric
